label,equipment notes,state,winner,runner-up,total,bp_rla1%,bp_rla5%,bp_rla10%,comp_rla1%,comp_rla5%,comp_rla10%,diluted margin,,precincts,
NH,,New Hampshire,348526,345790,"744,296",681898,"443,687",341095,4822,3763,3372,0.37%,59.61%,340,2189.105882
MI,,Michigan,2279543,2268839,"4,799,284",1852025,"1,204,936",926249,8929,6939,6293,0.22%,25.11%,"4,810",997.7721414
WI,,Wisconsin,1405284,1382536,"2,976,150",157790,"102,693",78965,2176,1667,1479,0.76%,3.45%,"3,636",818.5231023
PA,,Pennsylvania,2970733,2926441,"6,115,402",175722,"114,360",87932,2297,1759,1560,0.72%,1.87%,9160,667.6203057
ME,PCOS-CVR,Maine,357735,335593,"771,892",11230,"7,319",5634,542,425,375,2.87%,0.95%,533,1448.202627
NV,,Nevada,539260,512058,"1,125,385",15807,"10,298",7926,643,505,445,2.42%,0.92%,"1,963",573.2985227
MN,,Minnesota,1367705,1322949,"2,944,782",39943,"26,009",20008,1059,803,708,1.52%,0.88%,"4,120",714.7529126
FL,,Florida,4617886,4504975,"9,420,039",64192,"41,788",32139,1342,1063,897,1.20%,0.44%,"5,768",1633.155166
AZ,,Arizona,1252401,1161167,"2,573,165",7355,"4,795",3692,439,344,304,3.55%,0.19%,"1,470",1750.452381
NM,,New Mexico,385234,319667,"798,319",1377,901,695,190,149,131,8.21%,0.11%,1492,535.0663539
DE,,Delaware,235603,185127,"441,602",712,467,361,136,107,95,11.43%,0.11%,428,1031.780374
NC,,North Carolina,2362631,2189316,"4,741,564",6920,"4,512",3474,426,334,295,3.66%,0.10%,"2,660",1782.542857
CO,,Colorado,1338870,1202484,"2,780,220",3848,"2,511",1935,317,249,220,4.91%,0.09%,"3,010",923.6611296
AK,,Alaska,163387,116454,"318,608",430,282,219,106,83,73,14.73%,0.09%,441,722.4671202
GA,,Georgia,2089104,1877963,"4,114,732",3516,"2,295",1768,303,238,210,5.13%,0.06%,"4,515",911.3470653
RI,,Rhode Island,252525,180543,"464,144",388,255,197,101,79,70,15.51%,0.05%,501,926.4351297
VA,,Virginia,1981473,1769443,"3,982,752",3268,"2,133",1644,292,229,202,5.32%,0.05%,"2,452",1624.287113
