alpha,total,prop_w,bpa_25,bpa_50,bpa_75,bpa_90,bpa_99,bbp_25,bbp_50,bbp_75,bbp_90,bbp_99
0.1,10000,0.51,0.4725,0.8173,1.0,1.0,1.0,0.0954,0.3015,0.5021,0.6343,0.853
0.1,10000,0.52,0.1192,0.2057,0.3653,0.6088,1.0,0.0277,0.0993,0.2008,0.3029,0.6072
0.1,10000,0.53,0.0531,0.0918,0.1626,0.269,0.6003,0.0136,0.0476,0.1012,0.1626,0.4098
0.1,10000,0.54,0.0299,0.052,0.092,0.1524,0.3401,0.0082,0.0279,0.06,0.0988,0.2606
0.1,10000,0.55,0.0193,0.0334,0.0591,0.0976,0.2174,0.0056,0.0184,0.0396,0.0658,0.1854
0.1,10000,0.56,0.0136,0.0231,0.041,0.0685,0.15,0.0041,0.0132,0.028,0.0469,0.1393
0.1,10000,0.57,0.01,0.0171,0.0302,0.0504,0.1094,0.0031,0.0098,0.0209,0.0351,0.1059
0.1,10000,0.58,0.0077,0.0131,0.0231,0.0386,0.0849,0.0026,0.0077,0.0163,0.0271,0.0822
0.1,10000,0.59,0.0061,0.0105,0.0184,0.0305,0.067,0.0022,0.0062,0.013,0.0216,0.0655
0.1,10000,0.6,0.0051,0.0084,0.0149,0.0247,0.0542,0.0019,0.0052,0.0106,0.0177,0.053
0.1,10000,0.61,0.0041,0.0071,0.0122,0.0203,0.0446,0.0016,0.0043,0.0089,0.0147,0.042
0.1,10000,0.62,0.0036,0.0059,0.0102,0.0171,0.0375,0.0014,0.0036,0.0075,0.0125,0.0355
0.1,10000,0.63,0.0031,0.005,0.0089,0.0144,0.0321,0.0013,0.0032,0.0064,0.0107,0.0296
0.1,10000,0.64,0.0026,0.0042,0.0075,0.0124,0.0273,0.0011,0.0028,0.0056,0.0092,0.0256
0.1,10000,0.65,0.0023,0.0038,0.0066,0.0108,0.0236,0.001,0.0025,0.0049,0.008,0.0231
0.1,10000,0.66,0.0021,0.0035,0.0059,0.0095,0.0207,0.001,0.0022,0.0043,0.0071,0.0196
0.1,10000,0.67,0.0018,0.003,0.0052,0.0083,0.0183,0.0009,0.002,0.0038,0.0063,0.0174
0.1,10000,0.68,0.0015,0.0028,0.0047,0.0074,0.0162,0.0008,0.0018,0.0035,0.0057,0.0153
0.1,10000,0.69,0.0015,0.0025,0.004,0.0067,0.0147,0.0008,0.0017,0.0031,0.0051,0.0134
0.1,10000,0.7,0.0012,0.0022,0.0038,0.006,0.0131,0.0007,0.0015,0.0029,0.0046,0.0125
0.1,10000,0.71,0.0012,0.002,0.0033,0.0053,0.0119,0.0007,0.0014,0.0026,0.0042,0.0108
0.1,10000,0.72,0.0012,0.0017,0.003,0.0048,0.0108,0.0007,0.0013,0.0024,0.0038,0.01
0.1,10000,0.73,0.0009,0.0017,0.0028,0.0043,0.0099,0.0006,0.0012,0.0022,0.0035,0.0093
0.1,10000,0.74,0.0009,0.0014,0.0025,0.0041,0.0089,0.0006,0.0011,0.0021,0.0032,0.0085
0.1,10000,0.75,0.0009,0.0014,0.0022,0.0039,0.0082,0.0006,0.0011,0.0019,0.003,0.0078
0.1,10000,0.76,0.0009,0.0014,0.0023,0.0036,0.0075,0.0006,0.001,0.0018,0.0028,0.0071
0.1,10000,0.77,0.0009,0.0011,0.002,0.0031,0.0067,0.0005,0.0009,0.0017,0.0026,0.0065
0.1,10000,0.78,0.0009,0.0011,0.0017,0.0028,0.0063,0.0005,0.0009,0.0015,0.0024,0.0059
0.1,10000,0.79,0.0008,0.0011,0.0017,0.0026,0.0058,0.0005,0.0009,0.0015,0.0022,0.0053
0.1,10000,0.8,0.0005,0.0008,0.0014,0.0026,0.0056,0.0005,0.0008,0.0014,0.0021,0.0047
0.1,10000,0.81,0.0005,0.0008,0.0014,0.0023,0.005,0.0005,0.0008,0.0013,0.002,0.0047
0.1,10000,0.82,0.0005,0.0008,0.0014,0.002,0.0045,0.0005,0.0007,0.0012,0.0018,0.0042
0.1,10000,0.83,0.0005,0.0008,0.0011,0.0021,0.0043,0.0004,0.0007,0.0011,0.0017,0.0042
0.1,10000,0.84,0.0005,0.0008,0.0011,0.0018,0.004,0.0004,0.0007,0.0011,0.0016,0.0037
0.1,10000,0.85,0.0005,0.0008,0.0011,0.0018,0.0038,0.0004,0.0007,0.001,0.0015,0.0037
0.1,10000,0.86,0.0005,0.0008,0.0011,0.0015,0.0035,0.0004,0.0006,0.001,0.0015,0.0033
0.1,10000,0.87,0.0005,0.0008,0.0012,0.0015,0.0032,0.0004,0.0006,0.0009,0.0014,0.0033
0.1,10000,0.88,0.0005,0.0005,0.0008,0.0015,0.0029,0.0004,0.0006,0.0009,0.0013,0.0029
0.1,10000,0.89,0.0004,0.0004,0.0008,0.0012,0.0026,0.0004,0.0006,0.0009,0.0012,0.0029
0.1,10000,0.9,0.0004,0.0004,0.0008,0.0012,0.0027,0.0004,0.0006,0.0008,0.0012,0.0029
0.1,10000,0.91,0.0004,0.0004,0.0008,0.0012,0.0024,0.0004,0.0005,0.0008,0.0011,0.0025
0.1,10000,0.92,0.0004,0.0004,0.0008,0.0012,0.002,0.0004,0.0005,0.0008,0.0011,0.0025
0.1,10000,0.93,0.0004,0.0004,0.0008,0.0008,0.0021,0.0004,0.0005,0.0007,0.001,0.0021
0.1,10000,0.94,0.0004,0.0004,0.0004,0.0009,0.0017,0.0003,0.0005,0.0007,0.001,0.0021
0.1,10000,0.95,0.0004,0.0004,0.0004,0.0009,0.0018,0.0003,0.0005,0.0007,0.0009,0.0021
0.1,10000,0.96,0.0004,0.0004,0.0004,0.0009,0.0014,0.0003,0.0005,0.0007,0.0009,0.0018
0.1,10000,0.97,0.0004,0.0004,0.0004,0.0009,0.0014,0.0003,0.0005,0.0006,0.0008,0.0018
0.1,10000,0.98,0.0004,0.0004,0.0004,0.0004,0.0015,0.0003,0.0004,0.0006,0.0008,0.0015
0.1,10000,0.99,0.0004,0.0004,0.0004,0.0004,0.0011,0.0003,0.0004,0.0006,0.0008,0.0015
0.1,1000000,0.51,0.004719,0.008153,0.014547,0.024278,0.053806,0.001041,0.004269,0.009803,0.016932,0.06449
0.1,1000000,0.52,0.00119,0.002053,0.003643,0.006043,0.013496,0.000285,0.001095,0.002493,0.004307,0.01554
0.1,1000000,0.53,0.000531,0.000912,0.001619,0.002708,0.005982,0.000136,0.000498,0.001121,0.00193,0.006665
0.1,1000000,0.54,0.000301,0.00052,0.000916,0.001526,0.003347,8.3e-05,0.000287,0.000636,0.001092,0.003662
0.1,1000000,0.55,0.000193,0.000334,0.000587,0.000974,0.002139,5.8e-05,0.000186,0.000411,0.000704,0.00227
0.1,1000000,0.56,0.000136,0.000231,0.00041,0.000676,0.001487,4.1e-05,0.000132,0.000288,0.00049,0.001558
0.1,1000000,0.57,0.000102,0.000171,0.000302,0.000498,0.001113,3.3e-05,9.9e-05,0.000213,0.000362,0.001131
0.1,1000000,0.58,7.7e-05,0.000131,0.000231,0.000384,0.000847,2.7e-05,7.8e-05,0.000165,0.000278,0.000839
0.1,1000000,0.59,6.1e-05,0.000105,0.000184,0.000302,0.000672,2.2e-05,6.3e-05,0.000131,0.000222,0.000669
0.1,1000000,0.6,5.1e-05,8.4e-05,0.000149,0.000244,0.000536,1.9e-05,5.2e-05,0.000107,0.00018,0.000536
0.1,1000000,0.61,4.1e-05,7.1e-05,0.000122,0.000203,0.000439,1.6e-05,4.3e-05,9e-05,0.00015,0.000433
0.1,1000000,0.62,3.6e-05,5.9e-05,0.000105,0.000168,0.000369,1.4e-05,3.7e-05,7.6e-05,0.000125,0.000356
0.1,1000000,0.63,3.1e-05,5e-05,8.9e-05,0.000144,0.000312,1.3e-05,3.3e-05,6.5e-05,0.000107,0.0003
0.1,1000000,0.64,2.6e-05,4.2e-05,7.5e-05,0.000124,0.000269,1.1e-05,2.9e-05,5.7e-05,9.3e-05,0.000261
0.1,1000000,0.65,2.3e-05,3.8e-05,6.6e-05,0.000108,0.000233,1e-05,2.5e-05,5e-05,8.2e-05,0.000225
0.1,1000000,0.66,2.1e-05,3.5e-05,5.9e-05,9.5e-05,0.000205,1e-05,2.3e-05,4.4e-05,7.2e-05,0.000191
0.1,1000000,0.67,1.8e-05,3e-05,5.2e-05,8.3e-05,0.00018,9e-06,2e-05,3.9e-05,6.4e-05,0.000181
